          75              !  # of nodes 
  0.19574833622685187       0.77034260192652326        0.0000000000000000     
  0.43339123075574160       0.61074244681495338        0.0000000000000000     
  0.45991463864079096       0.61759134147016059        0.0000000000000000     
  0.44678211045352723       0.62773489362990698        0.0000000000000000     
  0.40246997196038425       0.70606139616782626        0.0000000000000000     
  0.37897157840640650       0.71875000000000000        0.0000000000000000     
  0.45823308310075606       0.66492017941238746        0.0000000000000000     
  0.47110725977749812       0.62764062827794109        0.0000000000000000     
  0.47816171530257012       0.65093959404607549        0.0000000000000000     
  0.38250005850965929       0.57812500000000000        0.0000000000000000     
  0.40500023403863744       0.59375000000000000        0.0000000000000000     
  0.50560606466513391       0.64760011665921813        0.0000000000000000     
  0.52741726345768614       0.65841116452016490        0.0000000000000000     
  0.58364498185939961       0.68833586785323020        0.0000000000000000     
  0.33880643981999314       0.55534071346820080        0.0000000000000000     
  0.36130973167519909       0.56461642836705017        0.0000000000000000     
  0.75533060309777067       0.85187527951425113        0.0000000000000000     
  0.75902390300634814       0.81172069001273961        0.0000000000000000     
  0.18945412400289163       0.19959776112932848        0.0000000000000000     
  0.17111288519074211       0.17247173230964735        0.0000000000000000     
  0.21979245346131729       0.24440893945941528        0.0000000000000000     
  0.74576866785701634       0.78406373659326012        0.0000000000000000     
  0.54552154648466911       0.67436336335332769        0.0000000000000000     
  0.56026461750603485       0.67305891013807884        0.0000000000000000     
  0.60853939045573291       0.71238958814152453        0.0000000000000000     
  0.66666666666666663       0.73958333333333326        0.0000000000000000     
  0.64583333333333326       0.72916666666666663        0.0000000000000000     
  0.80517600059517491       0.76979561744794611        0.0000000000000000     
  0.70312500000000000       0.75920587865939526        0.0000000000000000     
  0.71875000000000000       0.76841175731879052        0.0000000000000000     
  0.84830436903364181       0.83294839093239803        0.0000000000000000     
  0.82291666666666663       0.76196962781071131        0.0000000000000000     
  0.83333333333333326       0.77393925562142274        0.0000000000000000     
  0.77464890300634814       0.81448443916405566        0.0000000000000000     
  0.79662090122082374       0.82691535368448554        0.0000000000000000     
  0.78074180244164748       0.83201294050470287        0.0000000000000000     
  0.77701866785701634       0.76565197927446960        0.0000000000000000     
  0.81753565815987506       0.84063928559492140        0.0000000000000000     
  0.82257131631975033       0.85946080432557426        0.0000000000000000     
  0.80295303168262078       0.84413180779597607        0.0000000000000000     
  0.88138406239329181       0.83661599676773690        0.0000000000000000     
  0.89183380705569260       0.86651543947883891        0.0000000000000000     
           1           7         101     !n1,n2, material
           1          11         104
           1          12         107
           2           3         129
           2          25         140
           3           4         152
           4           5         958
           4           6         959
           5           6         970
           5          48         980
           6          10         982
           7           8        1646
           7          11        1652
           8           9        1659
          10          11        1977
          13          19        2727
          13          27        2730
          13          28        2732
          14          20        2791
          14          39        2796
          15          16        3036
          15          19        3038
          15          54        3043
          16          19        3046
          17          18        3133
          17          23        3135
          17          34        3137
          18          21        3145
          19          54        3225
          20          30        3351
          20          39        3354
          21          22        3363
          22          30        3370
          23          34        3403
          24          25        3715
          24          26        3717
          26          27        3723
          26          28        3725
          27          28        3727
          29          52        3837
          29          54        3839
          31          32        4535
          31          33        4536
          31          38        4537
          32          33        4544
          32          40        4549
          33          38        4555
          35          36        5425
          35          37        5427
          35          44        5431
          36          37        5434
          36          40        5435
          36          41        5436
          37          40        5450
          37          41        5451
          38          39        6148
          40          41        6282
          40          42        6283
          41          42        6290
          42          45        6297
          43          44        7148
          43          49        7153
          45          46        7216
          46          56        7245
          47          57        7403
          47          58        7406
          48          49        7709
          50          51        7941
          50          67        7943
          50          69        7945
          51          55        7965
          51          67        7967
          51          69        7969
          52          53        9221
          55          63        9594
          55          70        9597
          56          57        9728
          58          60        9744
          59          60        9985
          59          62        9986
          61          65       10058
          61          66       10059
          61          70       10062
          62          63       10086
          64          71       10223
          64          72       10225
          64          74       10226
          65          66       10294
          67          68       10303
          67          69       10305
          68          69       10308
          68          71       10309
          68          73       10310
          69          73       10320
          71          72       11584
          71          73       11585
          72          73       11605
          74          75       13327
